method,path,middlewares,handler,file
"GET","/branch/:branchId/revenue","adminAuth|adminRole(""manager"")","branchRevenue","src\routes\dashboard.routes.ts"
"GET","/branch/:branchId/orders","adminAuth|adminRole(""manager"")","branchOrders","src\routes\dashboard.routes.ts"
"GET","/branch/:branchId/menu","adminAuth|adminRole(""manager"")","menuPerformance","src\routes\dashboard.routes.ts"
"GET","/branch/:branchId/couriers","adminAuth|adminRole(""manager"")","courierPerformance","src\routes\dashboard.routes.ts"
"POST","/run","adminAuth|adminRole(""manager"")","run","src\routes\decisionEngine.routes.ts"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\decisionEngine.routes.ts"
"POST","/calculate","customerAuth","calculate","src\routes\deliveryFee.routes.ts"
"PUT","/zone/:branchId","adminAuth|adminRole(""manager"")","setZone","src\routes\deliveryFee.routes.ts"
"GET","/zone/:branchId","adminAuth|adminRole(""manager"")","getZone","src\routes\deliveryFee.routes.ts"
"GET","/available","","getAvailableDriversController","src\routes\drivers.ts"
"GET","/:driverId","","getDriverController","src\routes\drivers.ts"
"POST","/item","adminAuth|adminRole(""manager"")","optimizeItem","src\routes\dynamicPricing.routes.ts"
"POST","/branch","adminAuth|adminRole(""manager"")","optimizeBranch","src\routes\dynamicPricing.routes.ts"
"POST","/add","customerAuth","add","src\routes\favorites.routes.ts"
"POST","/remove","customerAuth","remove","src\routes\favorites.routes.ts"
"GET","/list","customerAuth","list","src\routes\favorites.routes.ts"
"GET","/analytics/most-favorited","adminAuth|adminRole(""manager"")","mostFavorited","src\routes\favorites.routes.ts"
"GET","/full","adminAuth|adminRole(""manager"")","fullForecast","src\routes\forecasting.routes.ts"
"POST","/score","adminAuth|adminRole(""admin"")","scoreOrder","src\routes\fraud.routes.ts"
"GET","/risk/:orderId","adminAuth|adminRole(""admin"")","getRisk","src\routes\fraud.routes.ts"
"GET","/flags","adminAuth|adminRole(""admin"")","flags","src\routes\fraud.routes.ts"
"GET","/events/:orderId","adminAuth|adminRole(""admin"")","events","src\routes\fraud.routes.ts"
"GET","/","","inline","src\routes\health.ts"
"GET","/summary","adminAuth|adminRole(""manager"")","summary","src\routes\intelligence.routes.ts"
"POST","/report","adminAuth|adminRole(""manager"")","report","src\routes\intelligence.routes.ts"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\intelligence.routes.ts"
"GET","/orders","kdsAuth","getOrders","src\routes\kds.routes.ts"
"POST","/status","kdsAuth","updateStatus","src\routes\kds.routes.ts"
"GET","/orders/:branchId","","inline","src\routes\kds.ts"
"POST","/orders/:id/status","","inline","src\routes\kds.ts"
"POST","/orders/:id/assign-courier","","inline","src\routes\kds.ts"
"POST","/analyze","adminAuth|adminRole(""manager"")","analyze","src\routes\knowledgeGraph.routes.ts"
"GET","/insights","adminAuth|adminRole(""manager"")","insights","src\routes\knowledgeGraph.routes.ts"
"GET","/points","customerAuth","getPoints","src\routes\loyalty.routes.ts"
"POST","/redeem","customerAuth","redeemReward","src\routes\loyalty.routes.ts"
"POST","/promo","customerAuth","applyPromoCode","src\routes\loyalty.routes.ts"
"POST","/referral","customerAuth","applyReferral","src\routes\loyalty.routes.ts"
"GET","/rewards","","listRewards","src\routes\loyalty.routes.ts"
"POST","/rewards","adminAuth|adminRole(""manager"")","inline","src\routes\loyalty.routes.ts"
"POST","/promo","adminAuth|adminRole(""manager"")","inline","src\routes\loyalty.routes.ts"
"POST","/save","adminAuth|adminRole(""manager"")","save","src\routes\ltml.routes.ts"
"POST","/trends","adminAuth|adminRole(""manager"")","trends","src\routes\ltml.routes.ts"
"GET","/summary","adminAuth|adminRole(""manager"")","summary","src\routes\ltml.routes.ts"
"GET","/segment/:customerId","adminAuth|adminRole(""manager"")","segment","src\routes\ltvChurn.routes.ts"
"GET","/branch","adminAuth|adminRole(""manager"")","branchSegments","src\routes\ltvChurn.routes.ts"
